Address,Beds,Baths,Area,Construction,Parking,Price
"100 W 57th St APT 6P, New York, NY 10019",0,1,575,0,0,"$125,000"
"100 W 57th St #19M, New York, NY 10019",0,1,450,0,0,"$109,000"
"526 W 158th St #55, New York, NY 10032",2,1,600,1925,0,"$125,000"
"100 W 57th St APT 5R, New York, NY 10019",1,1,900,0,0,"$173,000"
"1993 Amsterdam Ave APT 64, New York, NY 10032",2,1,700,1907,0,"$199,000"
"230 W 105th St APT 14F, New York, NY 10025",1,1,720,1920,0,"$250,000"
"30 Macombs Pl APT 42, New York, NY 10039",1,1,600,1920,0,"$215,000"
"25 Tudor City Pl APT 716, New York, NY 10017",0,1,300,0,0,"$279,000"
"333 E 85th St APT 1A, New York, NY 10028",0,1,24864,0,0,"$239,000"
"219 W 144th St APT 41, New York, NY 10030",1,1,375,0,0,"$210,000"
"36 Convent Ave #18, New York, NY 10027",2,1,700,1926,0,"$220,000"
"25 Tudor City Pl APT 714, New York, NY 10017",0,1,300,0,0,"$279,000"
"25 Tudor City Pl APT 1207, New York, NY 10017",0,1,300,0,0,"$295,000"
"100 W 57th St APT 16K, New York, NY 10019",0,1,580,1962,0,"$220,000"
"515 Edgecombe Ave APT 43, New York, NY 10032",1,1,550,1923,0,"$400,000"
"5 Tudor City Pl APT 317, New York, NY 10017",0,1,275,0,0,"$339,900"
"214 Bradhurst Ave APT 14, New York, NY 10039",1,1,490,0,0,"$387,500"
"153 E 57th St APT 5E, New York, NY 10022",0,1,500,1960,0,"$395,000"
"433 W 34th St APT 3F, New York, NY 10001",0,1,250,0,0,"$378,000"
"457 W 57th St #1116, New York, NY 10019",0,1,400,1930,0,"$379,000"
"512 E 83rd St APT 2B, New York, NY 10028",0,1,400,0,0,"$349,900"
"330 E 94th St APT 4B, New York, NY 10128",1,1,475,0,0,"$389,000"
"339 E 58th St APT 5B, New York, NY 10022",0,1,450,1930,0,"$310,000"
"515 Edgecombe Ave APT 43, New York, NY 10032",1,1,550,0,0,"$400,000"
"335 E 51st St APT 9G, New York, NY 10022",0,1,430,0,0,"$485,000"
"102 W 80th St APT 85, New York, NY 10024",0,1,380,0,0,"$430,000"
"461 W 44th St APT 6B, New York, NY 10036",0,1,400,1940,0,"$439,000"
"127 W 112th St #1B, New York, NY 10026",0,1,472,2021,0,"$499,000"
"235 E 40th St APT 21I, New York, NY 10016",0,1,405,1986,0,"$495,000"
"566 W 159th St APT 41, New York, NY 10032",2,1,900,1913,0,"$475,000"
"3 Hanover Sq APT 4A, New York, NY 10004",0,1,575,1926,0,"$425,000"
"403 E 62nd St APT 4D, New York, NY 10065",0,1,488,0,0,"$585,000"
"230 E 71st St APT 2A, Manhattan, NY 10021",1,1,650,0,0,"$549,000"
"817 W End Ave APT 3CC, New York, NY 10025",1,1,565,0,0,"$595,000"
"520 E 90th St APT 3E, New York, NY 10128",1,1,600,0,0,"$550,000"
"280 Rector Pl APT 5O, New York, NY 10280",1,1,631,1985,0,"$545,000"
"415 E 85th St #12, New York, NY 10028",1,1,760,1959,0,"$575,000"
"316 W 82nd St #1F, New York, NY 10024",1,1,685,0,0,"$595,000"
"280 Rector Pl APT 6D, New York, NY 10280",1,1,625,0,0,"$575,000"
